metric,category,value
total_events,trace,31761
load_events,trace,20601
store_events,trace,11159
core0_loads,per_core,4433
core0_stores,per_core,3043
core0_total,per_core,7477
core1_loads,per_core,8084
core1_stores,per_core,4058
core1_total,per_core,12142
core2_loads,per_core,8084
core2_stores,per_core,4058
core2_total,per_core,12142
8B_accesses,access_size,29616
1B_accesses,access_size,1563
4B_accesses,access_size,547
2B_accesses,access_size,34
unique_cache_lines,cache_lines,359
multi_core_lines,cache_lines,37
single_core_lines,cache_lines,322
total_conflicts,conflicts,356
rw_conflicts,conflicts,168
ww_conflicts,conflicts,188
contended_lines,conflicts,26
involved_pcs,conflicts,32
target_line_total,target_0x7f440,306
target_line_rw,target_0x7f440,134
target_line_ww,target_0x7f440,172
target_line_pct,target_0x7f440,86.0
other_lines_total,target_0x7f440,50
pc_0x10748_ww,top_pcs,86
pc_0x10790_ww,top_pcs,86
pc_0x10786_rw,top_pcs,67
pc_0x1073e_rw,top_pcs,64
baseline_time_s,overhead,0.8
logging_time_s,overhead,2.4
sb_logging_time_s,overhead,4.1
full_time_s,overhead,5.3
baseline_slowdown,overhead,1.0
logging_slowdown,overhead,3.0
sb_logging_slowdown,overhead,5.1
full_slowdown,overhead,6.6
